# key|parent_issue|title|abstract|current_behavior|expected_behavior|acceptance|dependencies|scope|kind
M0-01|2|[M0-01 案例身份] 固定 Golden Case 的唯一标识与版本|让所有测试、渲染和验收引用同一份可追踪的 Golden Case。|仓库已有 Flovvas fixture，但没有独立的案例身份、版本与变更记录约束。|任意工具都能通过稳定 ID 和版本定位同一案例，并知道结果对应哪个 revision。|唯一案例 ID 和版本字段可校验；fixture revision 变更可追踪；引用案例的测试不依赖文件名猜测。|无|examples/flovvas-massing.diagram.json; flovvas-massing-flowchart-case.md|contract
M4-02|6|[M4-02 能力协商] 定义 Adapter 加载前的能力声明与缺失处理|让系统在加载前知道 Renderer 能做什么，不在画面中静默丢失能力。|Contract 已列 capabilities，但没有统一声明格式、比较规则和失败/降级路径。|每个 Adapter 声明 projection、component kind、interaction、asset 和 export 能力；Core 可以据此决定加载或 fallback。|缺失关键能力在加载前被拒绝；允许 fallback 时记录警告；错误包含 adapterId、对象 ID 和恢复建议。|M2-03,M1-06|contracts/renderer-contract.md|contract
M4-03|6|[M4-03 场景投影] 定义 Template、Layout 到 Scene Node 的可见投影|建立“语义模板怎样成为可见节点”的统一边界，不把 mesh 反向写入 Artifact。|当前没有可运行 Renderer，模板和 layout 只有文件层描述。|每个节点根据 componentRef、参数和 Effective Layout 产生稳定可选择的 Scene Node。|位置、体量、elevation、rotationY、scale 和 zIndex 可观察；渲染状态不污染 JSON；缺失模板走 fallback。|M4-01,M2-05|contracts/renderer-contract.md; examples/flovvas-massing.diagram.json|behavior
M4-04|6|[M4-04 覆盖层] 定义 Route、Phase Zone 与 Annotation 的跟随关系|让分析图的关系和解释文字与 3D 节点共同变化，而不是成为静态贴图。|Contract 提议 2.5D overlay，但尚无跟随、排序、碰撞提示和导出边界。|overlay 使用 Diagram 坐标并跟随节点和视图；不同 visualRole 保持可读的层级差异。|pan/zoom/orbit 后 overlay 对齐；main/alternative/input/loop 可区分；PNG 包含 overlay；编辑手柄默认不包含。|M4-01,M3-04|contracts/renderer-contract.md; examples/flovvas-massing.diagram.json|design
M4-05|6|[M4-05 预览提交] 定义交互预览与 Domain Command 提交边界|把逐帧拖动和正式数据修改分开，确保一次手势只生成一次可撤销变更。|Contract 已提出 preview 和 command，但没有 Workspace、Renderer、Core 三者之间的提交时序。|预览只影响当前场景；用户确认手势后提交字段级 Domain Command，Core 再生成新的 RenderDocument。|预览期间 Artifact 不变；取消预览无残留；一次手势只产生一个命令；提交后对应 Override 可回读。|M4-01,M1-04|contracts/renderer-contract.md|contract
M4-06|6|[M4-06 参考渲染] 让 Reference Renderer 通过 Golden Case 视觉纵切|用真实 Golden Case 证明有限参数化原语能表达七个阶段，而不是停留在接口占位。|当前只有模块图、fixture 和 Renderer Contract，没有可视化输出。|Reference Renderer 能加载 Golden Case，显示七种阶段、路线和标注，并导出可供作者评审的画面。|七个阶段在弱化文字后仍可区分；主路径从左下向右上可读；中缝不切关键内容；作者完成 M0 视觉结论。|M4-03,M4-04|diagrams/loom-mvp-module-map.html; examples/flovvas-massing.diagram.json|design
M4-07|6|[M4-07 iCraft 验证] 记录 iCraft 程序化能力与授权结论|用可引用证据决定 iCraft 是否能作为 Adapter，避免把未证实的外部能力写进主路径。|iCraft 仍是首选候选，但程序化创建、更新、保存和产品授权尚未完成证据闭环。|得到 go、partial 或 no-go 结论，并明确哪些能力可以合法使用；Reference Renderer 不受该结论阻塞。|记录官方来源和日期；至少验证 create/update/reopen/export 边界；能力与授权分别给出结论；未知项不伪装成通过。|M4-02|contracts/renderer-contract.md; AI Native 3D Diagram Workspace MVP 需求池.md|spike
M5-01|7|[M5-01 编辑会话] 定义 Workspace 的加载、选中、脏状态与保存状态|建立 Workspace 中“当前正在编辑哪份 Artifact、是否有未保存修改”的会话抽象。|当前没有 Workspace 应用，文件状态只能从文档推断。|用户打开 Diagram 后能看到当前文件、revision、选中状态、未保存状态和错误状态。|打开无效文件不会进入编辑态；修改后 dirty 状态可见；保存成功/失败可见；重新打开显示同一 revision 内容。|M1-07,M4-06|AI Native 3D Diagram Workspace 产品核心设计文档.md|behavior
M5-02|7|[M5-02 选择上下文] 定义对象选择、Inspector 与组件替换上下文|让 Workspace 的直接操作有稳定的选择对象和属性上下文，而不是依赖 Renderer 私有选择状态。|没有可运行的选择模型、Inspector 或 Component 替换流程。|选择 node、edge、group 或 annotation 后，画布、Inspector 和 Component 入口显示同一对象上下文。|选择状态可由 UI 与 Domain Command 读取；选中对象不存在时自动清理；组件替换保留稳定 node ID 和语义关系。|M5-01,M2-01|AI Native 3D Diagram Workspace 产品核心设计文档.md; contracts/renderer-contract.md|behavior
M5-03|7|[M5-03 变换命令] 定义节点移动、旋转、缩放、elevation 与层级操作|建立 Workspace 对 Scene Node 的统一变换命令集合。|产品已确认操作范围，但没有命令字段、单位和提交规则。|用户可以执行已确认的节点变换，预览与提交遵循 M4-05，并只写对应 Human Override 字段。|move/rotateY/scale/elevation/zIndex 各有可校验输入；一次手势提交一个命令；保存重开结果一致；非法 scale 被拒绝。|M5-01,M4-05|contracts/diagram.schema.json; contracts/renderer-contract.md|behavior
M5-04|7|[M5-04 覆盖层命令] 定义路线控制点与标注编辑操作|建立 Route 和 Annotation 的直接编辑命令，使文字与关系成为可维护的正式内容。|当前仅有 fixture 里的 points 和 annotations，没有 UI 操作或命令边界。|用户可以移动路线点、修改标注文字/anchor/offset，并将结果保存到 Artifact。|路线点数量和坐标可校验；标注 target 可解析；一次编辑可撤销；导出显示最新提交内容。|M5-01,M4-04|contracts/diagram.schema.json; contracts/renderer-contract.md|behavior
M5-05|7|[M5-05 历史事务] 定义一次手势对应一个 Undo/Redo 事务|让用户能安全试错，而不会因为逐帧更新得到不可用的历史记录。|产品文档要求 Undo/Redo，但没有命令分组、撤销栈和重做边界。|一次完整手势或一次批量编辑成为一个历史事务；撤销恢复前一份有效 Artifact 状态，重做恢复后一份。|连续拖动不会产生逐帧历史；节点、路线、标注和模板替换均可撤销；保存重开不破坏历史相关的当前状态。|M5-03,M5-04,M1-04|AI Native 3D Diagram Workspace MVP 实施计划文档.md|contract
M6-01|8|[M6-01 工具信封] 定义 MCP Tool 输入、输出与错误的统一结构|建立所有 Codex 工具共享的可校验输入输出边界。|MCP 工具尚未实现，产品文档只有能力列表，没有统一 Tool envelope。|每个 Tool 的输入根对象、输出结果、错误信息、revision 和副作用声明一致。|所有 Tool schema 可独立校验；错误包含 code、objectIds、fieldPath、recoverable；不暴露 Renderer 私有对象。|M1-06|contracts/renderer-contract.md; AI Native 3D Diagram Workspace MVP 需求池.md|contract
M6-02|8|[M6-02 生命周期工具] 定义 Diagram 创建、打开、校验与保存工具|让 Codex 能安全管理 Diagram 生命周期，而不是直接拼接 JSON 字符串。|当前没有 MCP Server，创建和保存只能由人工处理 fixture。|Codex 可以创建、打开、校验、摘要和保存 Diagram，并得到可追踪的 revision。|无效输入在写入前失败；save 复用 Core 的原子行为；Tool 结果能被 Workspace 重新打开；失败不会留下半份文件。|M6-01,M1-07|AI Native 3D Diagram Workspace MVP 需求池.md|behavior
M6-03|8|[M6-03 组件查询] 定义按语义查询和读取 Component Template 的工具|让 Codex 可以按用户语言找到可用模板，并理解选择理由。|Component Manifest 结构已定义，但没有 Agent 可调用的查询边界。|Tool 支持按语义、节点类型和能力查询，并返回模板 ID、描述、参数和 fallback。|同一查询结果可在 Workspace 中使用；Golden 七阶段可命中；无匹配时返回候选或明确失败原因。|M6-01,M2-01|contracts/component-template.schema.json|behavior
M6-04|8|[M6-04 语义命令] 定义 Node、Edge、Group、Annotation 的原子修改|让 Codex 修改语义图时遵循统一的对象命令，而不是直接改变任意 JSON 字段。|Node/Edge/Group/Annotation 只有 Schema，没有原子操作和引用保护。|每类对象都有可验证的 create/update/delete 或 connect/disconnect 语义命令。|命令拒绝重复 ID 和悬空引用；批量操作结果能列出受影响对象；无关对象保持稳定。|M6-01,M1-02|contracts/diagram.schema.json|contract
M6-05|8|[M6-05 修改事务] 定义 dry-run、提交和 Override 保留的语义边界|让用户能先看懂 Codex 要改什么，再一次性提交并保留手工构图。|没有 dry-run、事务提交或“语义修改不得污染无关 Override”的运行协议。|批量语义修改先给出摘要，确认后一次提交；重新布局可声明保留现有 Override。|dry-run 不写文件；apply 失败整体回滚；提交后 revision 可追踪；无关 Override 与构图保持不变。|M6-02,M6-04,M1-04|AI Native 3D Diagram Workspace MVP 实施计划文档.md|contract
M7-01|9|[M7-01 捕获契约] 定义 Renderer 到导出的场景捕获输入输出|建立“当前可见场景如何成为导出结果”的稳定接口。|Renderer Contract 已描述 capturePng，但没有 Workspace 调用和输出收据的可验证边界。|导出请求携带 Artifact revision、视图、范围和输出设置，结果返回尺寸、revision 和警告。|导出使用 Effective Layout；请求和结果字段可校验；失败返回结构化 export error；不修改 Artifact。|M4-01,M4-06|contracts/renderer-contract.md|contract
M7-02|9|[M7-02 合成边界] 定义 PNG 包含的场景、路线、标注与排除的编辑 UI|把“可编辑画面”和“作品集画面”分成明确的输出层。|当前没有产品级 PNG，编辑手柄、选择框和 safe area 是否进入输出没有统一规则。|PNG 包含 Scene Node、Route、Phase Zone、Annotation，默认排除选择框、手柄、调试 UI 和辅助线。|相同输入层集合可复现；编辑 UI 不出现在输出；overlay 与场景使用同一 revision；缺失层有警告。|M4-04,M7-01|contracts/renderer-contract.md|contract
M7-03|9|[M7-03 输出预设] 定义双 A4 尺寸、背景、像素比和导出范围|固定作品集输出的尺寸和视觉边界，避免每次导出都重新猜参数。|fixture 定义 594 × 210 mm，但 Workspace 尚无导出预设和像素映射。|用户可以选择完整 Spread 或页面范围，并获得可预测的尺寸、背景和 pixel ratio。|双 A4 预设与 gutter 一致；背景设置可保存到导出请求但不改源资产；输出尺寸可由测试计算。|M1-03,M7-01|examples/flovvas-massing.diagram.json|contract
M7-04|9|[M7-04 PNG 回归] 定义同一 revision 的输出稳定性与作者验收证据|让 PNG 输出有可比较的回归证据，并把技术一致性和作者质量判断分开。|只有规划文档里的视觉验收描述，没有稳定输出检查和作者结论记录。|相同 revision、视图和预设可比较；视觉差异有意图时才更新基线；作者能确认是否进入排版。|输出尺寸和关键结构稳定；Golden PNG 记录 revision；中缝和文字可读；作者结论写入 M0 证据。|M0-03,M7-02,M7-03|AI Native 3D Diagram Workspace MVP 实施计划文档.md|test
M8-01|10|[M8-01 本地运行] 定义干净环境的安装、启动与连接验收|建立一个新环境如何获得 Loom MVP 运行能力的最小运行契约。|仓库目前只有规划、契约和示例，没有安装、启动或 Codex 连接流程。|新环境可以按文档完成依赖准备、服务启动、Workspace 打开和 MCP 连接检查。|安装步骤无隐含本机状态；启动失败有可定位信息；连接检查能确认 Core、Renderer 和 MCP 的版本或能力。|无|README.md; AI Native 3D Diagram Workspace MVP 实施计划文档.md|behavior
M8-02|10|[M8-02 创建旅程] 验证真实 Codex 请求创建 Diagram|证明产品的第一段闭环从自然语言开始，而不是从预置文件开始。|目前没有真实 Codex → MCP → Artifact → Workspace 的运行链路。|给定 Golden Prompt，Codex 创建结构完整的 Diagram，并在 Workspace 显示可编辑初稿。|测试从自然语言请求开始；生成结果通过 Schema 和覆盖清单；Workspace 能打开；不手工补写中间 JSON。|M6-02,M4-06,M1-07|AI Native 3D Diagram Workspace MVP 实施计划文档.md; examples/flovvas-massing.diagram.json|test
M8-03|10|[M8-03 往返旅程] 验证 Workspace 与 Codex 交替修改并保留 Override|证明两个协作表面可以围绕同一 Artifact 往返，而不是各自维护一份状态。|当前没有 Workspace 和 Codex 的真实往返测试。|用户先在 Workspace 手工构图，再让 Codex 修改语义；重新加载后手工调整仍保留。|至少完成三次往返；无关节点的 Override 不变；Schema、ID 和引用完整性通过；每次失败可恢复。|M5-05,M6-05|AI Native 3D Diagram Workspace MVP 实施计划文档.md|test
M8-04|10|[M8-04 关闭标准] 汇总构建、测试、引用完整性和作品集 PNG 的 MVP 关闭条件|把各模块的局部通过证据汇总成一个可以关闭 Parent 的客观门槛。|实施计划已有 Gate，但没有可勾选的最终关闭清单和证据索引。|维护者可以通过一张清单确认所有原子 Issue、契约、E2E 和作者 PNG 验收都已完成。|清单引用 M0 证据、构建测试、三次往返、Reference Renderer fallback 和最终 PNG；任一关键项失败时 Parent 保持开启。|M8-01,M8-02,M8-03,M7-04|AI Native 3D Diagram Workspace MVP 实施计划文档.md; issues/modules/00-mvp-parent.md|acceptance
